hue,saturation,value,skin_tone
52.1567,69.6261,131.6248,dark
127.5524,143.2464,155.0968,dark
16.2148,154.9763,126.0967,dark
12.7831,183.0191,132.2838,dark
29.7421,140.8926,152.2272,dark
16.4907,136.9986,128.9402,dark
19.4415,152.0733,121.8868,dark
32.4815,154.4007,144.9787,dark
29.4741,98.551,84.4455,dark
24.8264,155.5262,60.0454,dark
11.1708,100.9188,97.8928,dark
13.1464,153.3868,126.4632,dark
25.7232,97.5574,132.6193,dark
10.7576,99.2031,100.8475,dark
24.5283,76.2329,183.2452,dark
21.173,143.9091,133.364,dark
21.7657,153.5423,88.4396,dark
16.0037,157.615,102.2669,dark
38.4073,159.4394,124.5343,dark
38.2801,83.7104,90.291,dark
67.7943,99.7691,112.5612,dark
43.0704,59.9828,119.5814,dark
21.0484,122.122,63.9892,dark
10.8495,117.0359,82.5913,dark
57.1411,62.2357,117.1608,dark
63.7238,61.8337,84.7661,dark
18.5404,116.2368,127.1625,dark
16.827,121.3267,139.7749,dark
19.3005,77.6934,119.6244,dark
18.2074,101.7054,120.4199,dark
16.3197,82.2043,132.2396,dark
22.4398,99.6372,108.6242,dark
28.0034,156.4329,119.795,dark
18.7126,136.9565,102.6805,dark
9.9741,95.5299,126.768,dark
54.1739,102.1032,108.7005,dark
15.2242,96.768,117.7899,dark
65.2462,139.6741,101.3002,dark
18.2381,112.8516,118.3387,dark
52.0415,72.917,100.558,dark
26.7011,145.8733,117.45,dark
26.7238,164.0566,89.5064,dark
19.6289,133.6896,118.5278,dark
46.7707,151.235,102.4216,dark
11.8093,161.3758,95.8627,dark
8.9917,168.3148,128.8072,dark
18.5297,149.9092,147.6034,dark
11.8855,142.5325,102.737,dark
32.8247,149.8385,112.9543,dark
24.0432,126.9574,135.1048,dark
41.9121,101.6383,113.2418,dark
23.3502,115.2796,151.8934,dark
56.5107,91.6123,91.7524,dark
41.834,88.3397,180.6461,dark
19.4217,146.2538,160.0055,dark
9.2843,124.1538,130.4774,dark
70.6819,95.9498,102.2632,dark
12.7529,184.4899,81.7788,dark
20.417,128.3576,148.4373,dark
101.4586,83.3315,140.5991,dark
33.3414,130.4558,134.9233,dark
26.8745,62.0389,191.2156,dark
15.8158,148.9202,130.371,dark
34.4462,126.2315,149.1987,dark
41.9223,71.2319,147.0311,dark
16.9377,81.2388,115.7583,dark
31.5127,82.0864,56.1035,dark
65.0925,143.1117,108.1181,dark
37.0842,108.007,178.9482,dark
67.4747,87.3831,106.677,dark
14.5186,124.3083,138.2298,dark
33.321,122.7104,164.567,dark
23.6118,176.1029,72.1886,dark
35.0072,95.8607,181.5515,dark
25.3559,91.1675,163.5502,dark
15.9074,133.5953,125.2235,dark
67.9822,82.0295,117.4067,dark
52.7834,93.4238,58.7026,dark
20.3509,161.0257,101.5369,dark
41.7149,81.8599,137.8344,dark
34.8864,122.7311,131.618,dark
19.4151,124.3171,118.3642,dark
40.7961,93.5381,142.1943,dark
31.8552,96.1436,142.5355,dark
14.1634,67.6546,133.4305,dark
11.5982,111.1705,69.6633,dark
20.87,113.8983,83.9544,dark
20.5543,98.3093,175.162,dark
29.5541,73.495,123.7274,dark
30.3669,80.2861,112.8202,dark
18.8316,140.1899,99.6785,dark
29.2319,192.7498,122.0142,dark
17.8454,130.3239,116.7585,dark
19.6021,133.9061,119.4292,dark
27.5276,171.3249,111.1058,dark
44.0901,110.7671,101.4415,dark
20.4995,108.6688,137.5586,dark
34.2901,73.0147,139.9189,dark
26.1524,105.1668,170.4598,dark
21.6544,73.6584,184.1008,dark
13.5218,93.6091,174.519,dark
11.5698,98.9257,154.4174,dark
37.6119,110.2239,117.6454,dark
10.6355,119.7362,143.6169,dark
13.0939,169.6678,127.7767,dark
25.9472,120.1782,157.0821,dark
21.7255,184.1225,85.2515,dark
28.8308,187.8418,142.3541,dark
22.7954,113.7428,103.5183,dark
14.0317,98.798,172.3445,dark
18.1323,122.9963,106.2289,dark
22.9654,50.9748,133.6949,dark
12.7861,122.8177,128.1943,dark
64.5576,109.3763,118.832,dark
42.4581,119.7066,150.628,dark
23.3032,102.7658,154.3966,dark
14.6456,93.5296,176.416,dark
76.1442,71.0805,84.4116,dark
10.8019,92.639,128.3036,dark
30.5716,125.3554,120.1252,dark
50.0981,87.3034,95.629,dark
22.4239,120.4039,67.7352,dark
19.3632,112.962,184.9729,dark
23.0271,164.906,116.2256,dark
59.9131,101.578,133.9932,dark
56.0641,98.5699,104.809,dark
16.0442,91.5093,126.7157,dark
20.5136,89.5088,163.7843,dark
13.0892,146.9646,146.2396,dark
17.8412,121.1765,138.4976,dark
25.3508,144.2609,89.7424,dark
16.5302,123.7613,116.9194,dark
19.1516,95.0585,144.4837,dark
32.006,113.369,90.9963,dark
19.8253,103.8164,100.2122,dark
34.1031,104.2324,143.7902,dark
16.2218,119.9622,112.5224,dark
24.1794,175.6077,144.6339,dark
53.1267,30.4196,114.723,dark
13.4197,130.5406,76.766,dark
30.6999,140.7052,60.327,dark
15.2313,137.477,114.3262,dark
17.5336,90.7417,140.6125,dark
24.6849,107.5743,125.5722,dark
43.1481,82.1264,92.1297,dark
24.9745,106.6821,142.0697,dark
22.7148,114.7111,108.588,dark
47.7025,85.4143,112.8003,dark
15.6318,121.6016,97.6211,dark
11.0202,183.1444,101.7836,dark
17.3064,139.1636,116.3569,dark
38.3375,94.6794,114.6745,dark
18.1908,119.287,159.262,dark
12.5525,116.0288,156.3622,dark
19.3397,85.7765,114.2215,dark
63.2748,99.2659,117.9264,dark
13.9941,120.7698,121.5017,dark
60.6033,50.4209,120.769,dark
24.8064,138.275,133.8403,dark
46.6904,144.3872,82.4375,dark
16.2838,117.432,128.153,dark
20.4366,161.408,78.4553,dark
13.4044,77.4855,120.8789,dark
24.1672,100.0802,207.4605,dark
29.4954,103.674,195.6977,dark
28.5584,93.6864,112.995,dark
17.5735,153.197,87.5767,dark
14.703,111.1071,98.1914,dark
14.6533,129.5872,136.5863,dark
12.2987,120.1462,144.2192,dark
18.0812,109.9336,175.9936,dark
14.1133,172.449,140.8412,dark
14.9818,123.1141,126.1682,dark
16.6726,116.1962,85.6905,dark
11.7636,158.0855,143.4545,dark
33.6664,88.5194,65.8585,dark
14.8369,127.183,92.6269,dark
13.5276,126.425,122.4548,dark
35.4287,101.2257,120.1663,dark
31.2703,88.8894,132.0774,dark
19.9419,109.7449,113.2001,dark
13.0575,157.6951,102.6213,dark
41.3216,135.9145,92.4467,dark
23.5532,161.1562,98.4453,dark
22.7447,108.736,174.4729,dark
44.187,148.392,124.2432,dark
17.8758,125.1869,156.1416,dark
42.274,113.1364,149.0589,dark
12.7184,162.9437,98.8316,dark
59.4755,129.9038,184.4418,dark
19.281,109.8584,69.3962,dark
19.1816,116.3081,137.2742,dark
16.1281,150.0179,112.5095,dark
10.4117,111.8394,119.9983,dark
16.7776,166.3724,96.5312,dark
19.6423,128.8215,120.7766,dark
